,ticker,eps,roce,divYield,eps_rank,roce_rank,overall_rank
366,BSAC,0.125235167,0.049727329,0.073498973,150,665,815
367,UNH,0.040500935,0.18173045,0.012059697,576,240,816
368,HSY,0.034357645,0.218113735,0.01618916,647,169,816
369,MSFT,0.028537334,0.287573865,0.007808615,717,101,818
370,WF,0.375213339,0.021626208,0.078226693,14,804,818
371,VAC,0.064920304,0.094602717,0.018207111,353,468,821
372,ZTS,0.030764316,0.245620003,0.008891673,685,136,821
373,DG,0.047045774,0.143488513,0.009614167,503,319,822
374,CPA,0.10312339,0.057418073,0.0,200,623,823
375,CNI,0.046329723,0.146091414,0.018140829,513,311,824
376,FMC,0.046846139,0.143711763,0.017014721,508,318,826
377,SLB,0.045456131,0.153003182,0.011202208,525,302,827
378,AIG,0.208692122,0.030272533,0.020532088,60,768,828
379,WD,0.084282491,0.06891134,0.031591153,254,575,829
380,KEYS,0.035856701,0.199372291,0.0,620,209,829
381,MPWR,0.026924629,0.293394264,0.008487306,732,98,830
382,JNJ,0.038687495,0.181773272,0.025190754,591,239,830
383,HII,0.062592781,0.097086159,0.020756155,371,461,832
384,ABBV,0.041354061,0.165804863,0.035089459,564,274,838
385,HAL,0.044191564,0.151144612,0.012228582,534,307,841
386,SAN,0.206335158,0.027787158,0.039698841,63,779,842
387,MSCI,0.023177814,0.322294481,0.009928351,769,73,842
388,NJR,0.073922244,0.078816031,0.034337617,304,539,843
389,JBHT,0.053588771,0.111276443,0.009217027,432,412,844
390,POST,0.151674342,0.039640602,0.109696272,113,731,844
391,SHG,0.246940412,0.020593394,0.081969694,35,813,848
392,BIP,0.100371341,0.055548675,0.103510227,209,639,848
393,ORAN,0.087240725,0.0596924,0.075654702,240,609,849
394,HUM,0.042571458,0.153379449,0.00594726,549,300,849
395,COF,0.1873937,0.029387186,0.029993176,77,772,849
396,CPRT,0.029366562,0.23803728,0.0,704,145,849
397,HMC,0.116160287,0.046468057,0.035665891,164,686,850
398,PFG,0.228337545,0.021310318,0.030480756,46,805,851
399,XPO,0.048062481,0.126837463,0.0,489,365,854
400,CTAS,0.028089001,0.246390317,0.009375093,721,134,855
401,ABB,0.042787838,0.147530837,0.02935505,546,310,856
402,BXMT,0.068832676,0.08181218,0.116654169,331,526,857
403,MMS,0.057017036,0.10126506,0.019222004,405,452,857
404,UHS,0.065582951,0.086664509,0.005673782,350,508,858
405,SAIC,0.052122932,0.113425402,0.014420678,449,411,860
406,WAL,0.17716414,0.028268226,0.027848936,84,777,861
407,FTNT,0.021489318,0.307848616,0.0,784,80,864
408,GIS,0.051805199,0.111097173,0.025721854,452,413,865
409,AAP,0.05331103,0.107421933,0.035715815,434,431,865
410,HSIC,0.049505637,0.11702961,0.0,471,395,866
411,MPW,0.135346589,0.038681939,0.104747002,130,739,869
412,LYG,0.174427459,0.026202722,0.047129603,86,784,870
413,IVZ,0.11058434,0.045300312,0.068654294,178,693,871
414,MKTX,0.02394614,0.280877047,0.010138524,764,108,872
415,GILD,0.042620433,0.141140679,0.03442491,548,324,872
416,UNM,0.159634532,0.029716534,0.030877414,102,771,873
417,ROL,0.020490652,0.303018467,0.011763979,789,85,874
418,BAP,0.113036974,0.043480462,0.029189968,169,705,874
419,GD,0.048727869,0.116184748,0.01967801,478,398,876
420,MFG,0.583531265,0.011936418,0.220015784,5,872,877
421,BMO,0.162582083,0.02816034,0.03116647,99,778,877
422,DLTR,0.048130978,0.118971745,0.0,488,389,877
423,PEP,0.035738524,0.176019082,0.024756248,622,255,877
424,TEF,0.104782096,0.046867417,0.07278995,197,681,878
425,G,0.041423693,0.144068859,0.010764529,562,317,879
426,LDOS,0.047533035,0.119245945,0.013808867,494,387,881
427,MSI,0.031575466,0.201235764,0.012278061,680,201,881
428,SMFG,0.553914841,0.01186363,0.207311999,7,874,881
429,HLT,0.036116147,0.172487644,0.00353967,618,263,881
430,MCD,0.031827528,0.200949961,0.021475621,678,204,882
431,MMC,0.036936333,0.162849098,0.013781491,604,282,886
432,JKHY,0.030049579,0.202471929,0.012067253,691,198,889
433,STWD,0.168607637,0.023325668,0.114431472,94,795,889
434,RKT,0.829262414,0.008248278,0.0,3,887,890
435,K,0.042052672,0.134601136,0.034912479,554,342,896
436,PAA,0.125792114,0.035452934,0.094859627,147,749,896
437,COST,0.026046546,0.229137839,0.005178676,740,157,897
438,TXT,0.057145219,0.088964588,0.001128303,403,495,898
439,CDNS,0.019486909,0.283341184,0.0,795,105,900
440,DB,0.245612064,0.012821305,0.018048597,36,867,903
441,FDX,0.071739587,0.066778145,0.021258181,323,584,907
442,ROK,0.036865381,0.152208895,0.020833292,605,304,909
443,BMY,0.040843505,0.137835313,0.029914462,571,338,909
444,SHW,0.032991383,0.179122603,0.010101069,663,247,910
445,FCN,0.044017619,0.122932171,0.0,535,377,912
446,HDB,1.329161067,-0.00066128,0.231774465,2,911,913
447,BCE,0.052882148,0.093536122,0.063576585,442,473,915
448,BCO,0.067152585,0.069463971,0.014800335,345,571,916
449,SXT,0.046124815,0.115095343,0.022561994,517,400,917
450,C,0.168598841,0.019226104,0.056820478,95,823,918
451,VMI,0.035599015,0.157373239,0.006501149,626,293,919
452,HBAN,0.156070211,0.020967054,0.070433831,109,810,919
453,A,0.030314275,0.186943963,0.006043516,690,231,921
454,SPG,0.055419524,0.086644463,0.06715177,414,509,923
455,BCS,0.225194144,0.010233871,0.075140691,48,879,927
456,FSS,0.042825105,0.119660664,0.007754047,545,385,930
457,ENS,0.049583891,0.096041063,0.00804878,468,464,932
458,NKE,0.031043081,0.178815208,0.012319266,682,250,932
459,CACI,0.048662906,0.101215712,0.0,480,453,933
460,SNV,0.138850116,0.021023274,0.042010522,127,807,934
461,NYCB,0.156287975,0.018880216,0.084155064,108,827,935
462,VIV,0.063768569,0.068054245,0.089123714,358,578,936
463,AMGN,0.046369322,0.107921673,0.029695616,512,428,940
